,Season,id,Division,Logo,Name,Abbrev,Seed,Wins,Losses,Ties,%,PF,PA,ExpectedWins,PFonWins,PAonLosses,PFonLosses,PAonWins
47,2020,17,3,https://uploaddeimagens.com.br/images/001/725/567/full/logo.jpg?1542139515,Team Otavio,OTAV,11,5,8,0,0.3846153846153846,910.8,1053.1,5.466666666666667,0,0,0,0
48,2021,1,0,https://imageshack.com/a/img921/8492/jQlkYN.jpg,The Queijo Coalho,QUEI,13,5,9,0,0.3571428571428571,1029.4,1024.1,6.533333333333332,0,0,0,0
49,2021,2,3,https://g.espncdn.com/lm-static/logo-packs/ffl/TeamKinny-MartinLaksman/TeamKinny-27.svg,Curado Sport Saints,CSS,7,8,6,0,0.5714285714285714,1153.9,1015.8,7.933333333333334,0,0,0,0
50,2021,3,3,https://g.espncdn.com/lm-static/logo-packs/ffl/ShieldsOfGlory-LDopa/ShieldsOfGlory-02.svg,Recife Black Mambas,JOAO,11,5,9,0,0.3571428571428571,1033.0,1107.3999999999996,6.6,0,0,0,0
51,2021,4,0,https://cdn-std.dprcdn.net/files/acc_464038/pbLQg8,Bonus Team,BT,1,11,3,0,0.7857142857142857,1262.2000000000005,1056.6999999999998,9.666666666666666,0,0,0,0
52,2021,5,1,http://2.bp.blogspot.com/-zstn9mJPVJE/TymqfH_hN6I/AAAAAAAAAgA/ughMAoBPn4s/s1600/anti+brady.jpg,Anti-Brady Team,ABT,3,9,5,0,0.6428571428571429,1090.0,1042.9,7.733333333333332,0,0,0,0
53,2021,7,1,https://g.espncdn.com/lm-static/logo-packs/ffl/CreepShow-ToddDetwiler/CreepShow-11.svg,Valter Figueiredu's ,KAIO,9,6,8,0,0.4285714285714285,1036.3,1143.3,6.066666666666666,0,0,0,0
54,2021,8,1,https://g.espncdn.com/lm-static/logo-packs/ffl/CrazyHelmets-ToddDetwiler/Helmets_11.svg,Igara  Boys ,IGB,16,3,11,0,0.2142857142857142,1101.8000000000002,1185.1,7.2,0,0,0,0
55,2021,9,3,https://g.espncdn.com/lm-static/logo-packs/core/StarsAndFlames/stars_flames-2.svg,CDU Steamers,STM,4,9,5,0,0.6428571428571429,1059.9,990.8000000000002,6.866666666666666,0,0,0,0
56,2021,10,3,https://upload.wikimedia.org/wikipedia/commons/7/72/Bras%C3%A3o_do_Estado_de_Pernambuco.png,KAISER TROOPERS,KATO,14,5,9,0,0.3571428571428571,912.9,1131.6999999999998,4.999999999999998,0,0,0,0
